id,timestamp,temperature,humidity,air_index,lux
1,2025-10-18 10:58:27.624440,29.7,87.7,4.3,8.33
2,2025-10-18 10:58:29.629439,29.8,87.6,4.3,8.33
3,2025-10-18 10:58:31.637659,29.8,87.5,4.3,7.5
4,2025-10-18 10:58:33.646302,29.9,87.4,4.3,7.5
5,2025-10-18 10:58:35.656422,29.9,87.3,4.35,7.5
6,2025-10-18 10:58:37.666164,29.9,87.2,4.35,7.5
7,2025-10-18 10:58:39.674346,29.9,87.1,4.3,7.5
8,2025-10-18 10:59:05.682684,30.2,85.9,3.8,24886.67
9,2025-10-18 10:59:07.691545,30.2,85.9,3.8,24265.83
10,2025-10-18 10:59:09.701422,30.2,85.8,3.69,20561.67
11,2025-10-18 10:59:11.707953,30.2,85.8,3.54,1983.33
12,2025-10-18 10:59:13.717947,30.2,85.7,3.31,290.83
13,2025-10-18 10:59:15.725334,30.3,85.6,3.47,280
14,2025-10-18 10:59:17.732531,30.3,85.6,3.51,71.67
15,2025-10-18 10:59:19.742599,30.3,85.5,3.41,25
16,2025-10-21 05:20:28.707477,29.1,90.7,3.61,3.33
17,2025-10-21 05:20:30.714705,29.1,90.5,3.48,3.33
18,2025-10-21 05:20:32.723628,29.1,90.4,3.5,3.33
19,2025-10-21 05:20:34.732584,29.2,90.4,3.51,3.33
20,2025-10-21 05:20:36.740585,29.2,90.2,3.53,3.33
21,2025-10-21 05:20:38.750049,29.2,90.2,3.61,3.33
22,2025-10-21 05:20:40.757865,29.2,90,3.57,3.33
23,2025-10-21 05:20:42.767904,29.3,90,3.59,3.33
24,2025-10-21 05:41:04.980134,29.5,88.9,3.63,10.83
25,2025-10-21 05:41:06.984163,29.5,88.9,3.61,10.83
26,2025-10-21 05:41:08.993713,29.5,88.8,3.59,10.83
27,2025-10-21 05:41:11.002852,29.5,88.7,3.61,10.83
28,2025-10-21 05:41:13.011363,29.6,88.6,3.61,10.83
29,2025-10-21 05:41:15.018136,29.6,88.5,3.58,10.83
